CD;Año;Semana;Tienda;Apertura;CD;Cierre;Estado;Estatus;MismasTiendas;Region;Zona;Ventas Actuales;Ventas Año Anterior;Variacion Venta;% Margen;% Margen Año Anterior;Costo de Ventas;Piezas de Venta;Piezas Venta Año Anterior;Utilidad Tienda;Inventario pesos;Inventario Año Anterior pesos;Inventario pzas;Inventario Año Anterior pzas;Inventario CD pesos;Inventario CD Año Anterior pesos;Inventario CD pzas;Inventario CD Año Anterior pzas;Inventario Tienda IT pesos;Inventario Tienda IT Año Anterior pesos;Inventario Tienda IT pzas;Inventario Tienda IT Año Anterior pzas;Inventario On Hand pesos;Inventario OH Año Anterior pesos;Inventario On Hand Pzas;Inventario OH Año Anterior pzas
7021;2024;Sem-20;5023 - Tecate (BCN);20020602;7021;20400101;BCN;Activo;Mismas Tiendas;R01 Tijuana Este;D01 BC NORTE;$28.632;$29.248;($616);52,55%;53,12%;$11.582;804;920;$ 15.046,20;$261.569;$263.870;18.516;18.233;;;;;$9.659;$8.103;610;778;$251.910;$255.767;17.906;17.455
7021;2024;Sem-20;5025 - Calle 2da. (SON);20020601;7021;20400101;SON;Activo;Mismas Tiendas;R54 Mexicali/San Luis;D01 BC NORTE;$14.710;$15.629;($919);50,09%;52,62%;$6.312;485;537;$ 7.367,88;$293.391;$275.078;20.270;19.792;;;;;$5.451;$0;356;;$287.940;$275.078;19.914;19.792
7021;2024;Sem-20;5028 - Cortez (BCN);20020726;7021;20400101;BCN;Activo;Mismas Tiendas;R03 Tijuana Costa;D01 BC NORTE;$13.988;$17.045;($3.057);53,19%;49,76%;$5.569;407;487;$ 7.439,44;$293.852;$297.008;21.046;22.335;;;;;$0;$2.387;;224;$293.852;$294.621;21.046;22.111
7021;2024;Sem-20;5029 - Lazaro Cardenas Mexicali (BCN);20021008;7021;20400101;BCN;Activo;Mismas Tiendas;R04 Mexicali Centro;D01 BC NORTE;$15.941;$24.921;($8.981);51,66%;51,24%;$6.590;488;718;$ 8.234,53;$283.271;$264.954;19.690;18.778;;;;;$3.988;$4.873;260;272;$279.283;$260.081;19.430;18.506
7021;2024;Sem-20;5031 - Cucapah (BCN);20050406;7021;20400101;BCN;Activo;Mismas Tiendas;R46 Tijuana Otay;D01 BC NORTE;$14.328;$26.619;($12.291);50,71%;52,76%;$6.059;432;789;$ 7.266,46;$298.874;$288.081;20.342;20.509;;;;;$0;$0;;;$298.874;$288.081;20.342;20.509
7021;2024;Sem-20;5032 - La Paz 5 de Febrero (BCS);20060324;7021;20400101;BCS;Activo;Mismas Tiendas;R05 La Paz;D02 BC SUR / PACIFICO;$18.893;$49.013;($30.120);48,20%;48,20%;$8.464;673;1.523;$ 9.106,20;$309.834;$340.348;22.112;22.859;;;;;$13.529;$40.104;902;3.177;$296.305;$300.244;21.210;19.682
7021;2024;Sem-20;5033 - San Jose Del Cabo (BCS);20050415;7021;20400101;BCS;Activo;Mismas Tiendas;R25 Los Cabos;D02 BC SUR / PACIFICO;$7.363;$34.305;($26.942);47,92%;47,50%;$3.319;234;1.048;$ 3.528,07;$303.973;$318.573;21.862;23.485;;;;;$0;$14.263;;838;$303.973;$304.310;21.862;22.647
7021;2024;Sem-20;5035 - Ensenada Centro (BCN);20060227;7021;20400101;BCN;Activo;Mismas Tiendas;R03 Tijuana Costa;D01 BC NORTE;$11.084;$14.575;($3.491);50,24%;49,66%;$4.740;330;447;$ 5.568,50;$290.832;$282.218;20.394;20.506;;;;;$9.633;$1.644;675;198;$281.199;$280.574;19.719;20.308
7021;2024;Sem-20;5036 - Los Cabos Wal Exp (BCS);20150731;7021;20400101;BCS;Activo;Mismas Tiendas;R25 Los Cabos;D02 BC SUR / PACIFICO;$6.558;$9.563;($3.004);50,10%;43,91%;$2.814;235;351;$ 3.285,64;$272.512;$317.976;19.465;22.298;;;;;$0;$5.671;;258;$272.512;$312.305;19.465;22.040
7021;2024;Sem-20;5039 - La Paz Camino Real (BCS);20161215;7021;20400101;BCS;Activo;Mismas Tiendas;R05 La Paz;D02 BC SUR / PACIFICO;$12.649;$19.228;($6.579);46,62%;46,36%;$5.867;445;727;$ 5.896,35;$295.634;$301.229;20.006;21.502;;;;;$0;$8.746;;620;$295.634;$292.482;20.006;20.882
7021;2024;Sem-20;5040 - Cd. Constitucion (BCS);20160526;7021;20400101;BCS;Activo;Mismas Tiendas;R07 Constitucion;D02 BC SUR / PACIFICO;$20.079;$48.361;($28.282);48,02%;48,84%;$9.032;670;1.596;$ 9.641,42;$259.711;$344.943;17.840;23.620;;;;;$9.927;$11.821;711;646;$249.784;$333.122;17.129;22.974
7021;2024;Sem-20;5042 - La Paz Cto.Degollado Wal Exp (BCS);20160412;7021;20400101;BCS;Activo;Mismas Tiendas;R05 La Paz;D02 BC SUR / PACIFICO;$6.746;$13.029;($6.284);46,49%;44,99%;$3.137;241;464;$ 3.136,33;$342.471;$284.990;23.135;20.014;;;;;$0;$7.583;;482;$342.471;$277.406;23.135;19.532
7021;2024;Sem-20;5043 - S.J. Del Cabo Issste (BCS);20160405;7021;20400101;BCS;Activo;Mismas Tiendas;R25 Los Cabos;D02 BC SUR / PACIFICO;$8.670;$18.770;($10.100);49,63%;47,73%;$3.760;273;550;$ 4.302,86;$262.674;$295.164;18.848;21.815;;;;;$13.328;$21.002;920;1.878;$249.346;$274.162;17.928;19.937
7021;2024;Sem-20;5047 - La Paz Abasolo (BCS);20161215;7021;20400101;BCS;Activo;Mismas Tiendas;R05 La Paz;D02 BC SUR / PACIFICO;$9.970;$12.231;($2.261);47,85%;46,22%;$4.501;321;412;$ 4.770,56;$296.460;$234.251;21.130;18.105;;;;;$7.905;$0;554;;$288.556;$234.251;20.576;18.105
7021;2024;Sem-20;5049 - Loreto (BCS);20170824;7021;20400101;BCS;Activo;Mismas Tiendas;R07 Constitucion;D02 BC SUR / PACIFICO;$9.215;$18.292;($9.076);45,69%;47,21%;$4.360;288;533;$ 4.210,76;$279.476;$294.065;19.679;20.845;;;;;$7.482;$0;504;;$271.994;$294.065;19.175;20.845
7021;2024;Sem-20;5050 - Los Cabos B.Hidalgo (BCS);20180809;7021;20400101;BCS;Activo;Mismas Tiendas;R25 Los Cabos;D02 BC SUR / PACIFICO;$21.589;$27.813;($6.223);48,15%;46,60%;$9.683;683;916;$ 10.395,39;$262.528;$330.178;18.533;22.851;;;;;$0;$13.250;;844;$262.528;$316.928;18.533;22.007
7021;2024;Sem-20;5051 - Alameda Otay (BCN);20180821;7021;20400101;BCN;Activo;Mismas Tiendas;R46 Tijuana Otay;D01 BC NORTE;$16.821;$15.343;$1.478;52,73%;50,41%;$6.773;545;426;$ 8.870,24;$256.269;$235.853;17.795;16.704;;;;;$0;$0;;;$256.269;$235.853;17.795;16.704
7021;2024;Sem-20;5052 - Plaza Paseo La Paz (BCS);20190117;7021;20400101;BCS;Activo;Mismas Tiendas;R05 La Paz;D02 BC SUR / PACIFICO;$9.775;$14.616;($4.841);47,64%;47,59%;$4.434;323;493;$ 4.656,92;$279.320;$268.908;19.274;19.469;;;;;$0;$6.966;;368;$279.320;$261.942;19.274;19.101
7021;2024;Sem-20;5053 - Tijuana Murua (BCN);20191114;7021;20400101;BCN;Activo;Mismas Tiendas;R46 Tijuana Otay;D01 BC NORTE;$16.197;$20.312;($4.115);46,35%;46,12%;$7.555;569;633;$ 7.507,69;$230.803;$250.375;16.144;17.844;;;;;$5.588;$435;374;80;$225.215;$249.940;15.770;17.764
7021;2024;Sem-20;5055 - Tijuana Aeropuerto (BCN);20190808;7021;20400101;BCN;Activo;Mismas Tiendas;R46 Tijuana Otay;D01 BC NORTE;$13.147;$19.302;($6.155);48,20%;48,22%;$5.889;456;638;$ 6.336,84;$262.957;$240.257;18.408;17.580;;;;;$9.162;$0;518;;$253.795;$240.257;17.890;17.580
7021;2024;Sem-20;5056 - Plaza Sendero (BCN);20191008;7021;20400101;BCN;Activo;Mismas Tiendas;R54 Mexicali/San Luis;D01 BC NORTE;$12.068;$15.530;($3.462);48,36%;49,11%;$5.387;428;544;$ 5.836,61;$303.988;$315.471;21.436;23.096;;;;;$0;$4.310;;394;$303.988;$311.162;21.436;22.702
7021;2024;Sem-20;5057 - GUADALUPE VICTORIA (BCN);20191217;7021;20400101;BCN;Activo;Mismas Tiendas;R54 Mexicali/San Luis;D01 BC NORTE;$15.479;$20.473;($4.994);45,27%;48,11%;$7.388;559;642;$ 7.007,87;$277.068;$293.978;19.598;21.440;;;;;$7.916;$0;554;;$269.152;$293.978;19.044;21.440
7021;2024;Sem-20;5060 - Maneadero (BCN);20231026;7021;20400101;BCN;Activo;NA;R03 Tijuana Costa;D01 BC NORTE;$12.931;;$12.931;49,84%;-7,00%;$5.581;418;;$ 6.445,05;$192.291;;13.266;;;;;;$0;;;;$192.291;;13.266;
7021;2024;Sem-20;5061 - El Dorado (BCN);20231109;7021;20400101;BCN;Activo;NA;R01 Tijuana Este;D01 BC NORTE;$13.736;;$13.736;51,44%;-7,00%;$5.709;469;;$ 7.065,28;$255.744;;17.544;;;;;;$14.186;;952;;$241.558;;16.592;
7021;2024;Sem-20;5160 - Plaza Cucapah (BCN);20190822;7021;20400101;BCN;Activo;Mismas Tiendas;R46 Tijuana Otay;D01 BC NORTE;$12.497;$17.149;($4.652);45,67%;49,54%;$5.915;466;559;$ 5.707,12;$293.801;$280.508;19.579;19.738;;;;;$3.977;$150;340;24;$289.825;$280.358;19.239;19.714
7021;2024;Sem-20;5163 - Vidaurri Mexicali (BCN);20210923;7021;20400101;BCN;Activo;Mismas Tiendas;R04 Mexicali Centro;D01 BC NORTE;$12.524;$18.235;($5.711);46,76%;47,24%;$5.791;451;646;$ 5.855,38;$308.775;$277.860;21.288;18.878;;;;;$1.649;$0;98;;$307.126;$277.860;21.190;18.878
